date,open,high,low,close,adj_close,volume
2019-02-20,84.629997,84.949997,84.349998,84.839996,84.622276,6436100
2019-02-21,83.570000,84.150002,83.349998,83.949997,83.734566,8579200
2019-02-22,84.199997,85.019997,84.029999,84.760002,84.542488,4449500
2019-02-25,85.389999,85.730003,84.959999,85.169998,84.951431,6229700
2019-02-26,85.309998,86.080002,85.199997,85.800003,85.579819,6678700
2019-02-27,85.529999,86.220001,85.059998,86.169998,85.948868,4588200
2019-02-28,86.080002,86.400002,85.680000,85.730003,85.510002,4988100
2019-03-01,86.930000,87.989998,86.239998,87.160004,87.160004,6314900
2019-03-04,87.320000,87.989998,85.110001,85.639999,85.639999,7339500
2019-03-05,85.879997,86.250000,85.440002,85.440002,85.440002,4976300
2019-03-06,85.599998,85.989998,85.040001,85.129997,85.129997,3198000
2019-03-07,84.970001,85.410004,84.660004,85.260002,85.260002,4321800
2019-03-08,84.580002,84.879997,84.019997,84.800003,84.800003,4669700
2019-03-11,85.389999,85.940002,85.050003,85.820000,85.820000,3999800
2019-03-12,85.779999,86.080002,85.019997,85.430000,85.430000,4431600
2019-03-13,85.699997,86.660004,85.599998,85.930000,85.930000,5037800
2019-03-14,86.150002,86.879997,85.699997,86.870003,86.870003,5906100
2019-03-15,87.220001,87.610001,85.959999,86.800003,86.800003,11031400
2019-03-18,87.300003,87.839996,87.000000,87.820000,87.820000,7750700
2019-03-19,88.220001,88.589996,87.290001,87.690002,87.690002,6613200
2019-03-20,87.500000,87.580002,86.089996,87.029999,87.029999,3714179
